SetID,WorkoutExerciseID,SetNumber,Repetitions,Weight,RIR
227,71,3,11,30.0,2
228,72,1,9,65.0,2
229,72,2,9,65.0,2
230,72,3,9,65.0,2
231,72,4,9,65.0,2
232,73,1,10,75.0,2
233,73,2,10,75.0,2
234,73,3,10,75.0,2
235,74,1,12,40.0,2
236,74,2,12,40.0,2
237,74,3,12,40.0,2
238,75,1,11,20.0,2
239,75,2,11,20.0,2
240,75,3,11,20.0,2
241,76,1,10,30.0,2
242,76,2,10,30.0,2
243,76,3,8,30.0,2
244,77,1,6,145.0,2
245,77,2,6,145.0,2
246,77,3,6,145.0,2
247,77,4,6,145.0,2
248,78,1,8,100.0,2
249,78,2,8,100.0,2
250,78,3,8,100.0,2
251,79,1,9,20.0,2
252,79,2,9,20.0,2
253,80,1,15,75.0,2
254,80,2,15,75.0,2
255,80,3,15,75.0,2
256,81,1,8,60.0,2
257,81,2,8,60.0,2
258,81,3,8,60.0,2
259,82,1,10,22.0,2
260,82,2,10,22.0,2
261,82,3,10,22.0,2
262,82,4,10,22.0,2
263,83,1,10,70.0,2
264,83,2,10,70.0,2
265,83,3,10,70.0,2
266,84,1,13,28.0,2
267,84,2,13,28.0,2
268,84,3,13,28.0,2
269,85,1,10,40.0,2
270,85,2,10,40.0,2
271,85,3,10,40.0,2
272,86,1,13,30.0,2
273,86,2,13,30.0,2
274,86,3,12,30.0,2
275,87,1,12,40.0,2
276,87,2,9,50.0,2
277,87,3,9,50.0,2
278,88,1,8,20.0,2
279,88,2,7,20.0,2
280,88,3,8,20.0,2
281,89,1,10,22.0,2
282,89,2,10,22.0,2
283,89,3,10,22.0,2
284,89,4,10,22.0,2
285,90,1,10,25.0,2
286,90,2,11,25.0,2
287,90,3,11,25.0,2
288,91,1,11,32.0,2
289,91,2,11,32.0,2
290,91,3,11,32.0,2
291,92,1,12,12.0,2
292,92,2,9,12.0,2
293,92,3,8,12.0,2
294,93,1,10,35.0,2
295,93,2,10,35.0,2
296,93,3,8,35.0,2
297,94,1,10,35.0,2
298,94,2,10,35.0,2
299,94,3,8,35.0,2
300,95,1,8,110.0,2
301,95,2,8,110.0,2
302,95,3,8,110.0,2
303,96,1,10,100.0,2
304,96,2,10,100.0,2
305,96,3,10,100.0,2
306,97,1,12,80.0,2
307,97,2,12,80.0,2
308,97,3,12,80.0,2
309,98,1,10,20.0,2
310,98,2,10,20.0,2
311,99,1,16,75.0,2
312,99,2,16,75.0,2
313,99,3,15,75.0,2
314,100,1,10,20.0,2
315,100,2,9,20.0,2
316,100,3,9,20.0,2
317,101,1,8,34.0,2
318,101,2,8,34.0,2
319,101,3,10,34.0,2
320,102,1,8,34.0,2
321,102,2,8,34.0,2
322,102,3,8,34.0,2
323,103,1,10,70.0,2
324,103,2,10,70.0,2
325,103,3,10,70.0,2
326,103,4,10,70.0,2
327,104,1,12,70.0,2
328,104,2,12,70.0,2
329,104,3,12,70.0,2
330,105,1,13,28.0,2
331,105,2,13,28.0,2
332,105,3,13,28.0,2
333,106,1,12,70.0,2
334,106,2,12,70.0,2
335,106,3,12,70.0,2
336,107,1,9,30.0,2
337,107,2,9,30.0,2
338,107,3,9,30.0,2
339,108,1,12,30.0,2
340,108,2,12,30.0,2
341,108,3,12,30.0,2
342,109,1,6,75.0,2
343,109,2,6,75.0,2
344,109,3,6,75.0,2
345,109,4,6,75.0,2
346,110,1,8,75.0,2
347,110,2,8,75.0,2
348,110,3,8,75.0,2
349,111,1,10,75.0,2
350,111,2,10,75.0,2
351,111,3,10,75.0,2
352,111,4,10,75.0,2
353,112,1,13,30.0,2
354,112,2,13,30.0,2
355,112,3,13,30.0,2
356,112,4,13,30.0,2
357,113,1,8,30.0,2
358,113,2,8,30.0,2
359,113,3,8,30.0,2
360,114,1,8,35.0,2
361,114,2,8,35.0,2
362,114,3,8,35.0,2
363,114,4,8,35.0,2
364,115,1,10,30.0,2
365,115,2,10,30.0,2
366,115,3,10,30.0,2
